model,processing,cycle,variant,dataset,class_id,class_name,roc_auc
faster_rcnn,plain,1,pretrained,val,2,Western_Leopard_Toad,0.4732505070993915
faster_rcnn,plain,1,scratch,test,0,Other_Amphibian,0.7549244468429573
faster_rcnn,plain,1,scratch,test,1,Small_Mammal,0.4416048550236008
faster_rcnn,plain,1,scratch,test,2,Western_Leopard_Toad,0.9988535203668736
faster_rcnn,plain,1,scratch,val,0,Other_Amphibian,0.3756338742393509
faster_rcnn,plain,1,scratch,val,1,Small_Mammal,0.4836460446247465
faster_rcnn,plain,1,scratch,val,2,Western_Leopard_Toad,0.3890720081135903
faster_rcnn,plain,2,pretrained,test,0,Other_Amphibian,0.6982595790609822
faster_rcnn,plain,2,pretrained,test,1,Small_Mammal,0.4936614969656102
faster_rcnn,plain,2,pretrained,test,2,Western_Leopard_Toad,0.9995953601294848
faster_rcnn,plain,2,pretrained,val,0,Other_Amphibian,0.28435598377281945
faster_rcnn,plain,2,pretrained,val,1,Small_Mammal,0.4757860040567951
faster_rcnn,plain,2,pretrained,val,2,Western_Leopard_Toad,0.17849898580121704
faster_rcnn,plain,2,scratch,test,0,Other_Amphibian,0.9161719733765066
faster_rcnn,plain,2,scratch,test,1,Small_Mammal,0.4518543492919757
faster_rcnn,plain,2,scratch,test,2,Western_Leopard_Toad,0.9974372808200701
faster_rcnn,plain,2,scratch,val,0,Other_Amphibian,0.34026369168356996
faster_rcnn,plain,2,scratch,val,1,Small_Mammal,0.46526369168357
faster_rcnn,plain,2,scratch,val,2,Western_Leopard_Toad,0.3545892494929006
faster_rcnn,plain,3,pretrained,test,0,Other_Amphibian,0.9379159920849074
faster_rcnn,plain,3,pretrained,test,1,Small_Mammal,0.497167902899528
faster_rcnn,plain,3,pretrained,test,2,Western_Leopard_Toad,0.9994604801726463
faster_rcnn,plain,3,pretrained,val,0,Other_Amphibian,0.3903397565922921
faster_rcnn,plain,3,pretrained,val,1,Small_Mammal,0.4755324543610548
faster_rcnn,plain,3,pretrained,val,2,Western_Leopard_Toad,0.28663793103448276
faster_rcnn,plain,3,scratch,test,0,Other_Amphibian,0.7468294657312466
