model,processing,cycle,variant,dataset,class_id,class_name,AP,recall_0.1,specificity_0.1,precision_0.1,f1_0.1,max_recall,best_thresh,spec_at_best_thresh
faster_rcnn,clahe,3,pretrained,test,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,3,pretrained,test,2,Western_Leopard_Toad,0.125,1.0,0.9428108983005126,0.002352941176470588,0.004694835680751173,1.0,0.95,0.9987860803884543
faster_rcnn,clahe,3,pretrained,val,0,Other_Amphibian,0.0,0.0,0.9969574036511156,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,3,pretrained,val,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,3,pretrained,val,2,Western_Leopard_Toad,0.0,0.0,0.6313387423935092,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,3,scratch,test,0,Other_Amphibian,0.0,0.3333333333333333,0.9936589314624933,0.020833333333333332,0.0392156862745098,1.0,0.04,0.9846195358877496
faster_rcnn,clahe,3,scratch,test,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,3,scratch,test,2,Western_Leopard_Toad,0.16666666666666666,1.0,0.996088481251686,0.03333333333333333,0.06451612903225806,1.0,0.92,0.9991907202589695
faster_rcnn,clahe,3,scratch,val,0,Other_Amphibian,0.0,0.0,0.9355983772819473,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,3,scratch,val,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,3,scratch,val,2,Western_Leopard_Toad,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,4,pretrained,test,0,Other_Amphibian,0.0,0.0,0.9708580679978414,0.0,0.0,1.0,0.04,0.941446303291959
faster_rcnn,clahe,4,pretrained,test,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,4,pretrained,test,2,Western_Leopard_Toad,0.1111111111111111,1.0,0.9053142702994335,0.001422475106685633,0.002840909090909091,1.0,0.95,0.9989209603452927
faster_rcnn,clahe,4,pretrained,val,0,Other_Amphibian,0.0,0.0,0.9700811359026369,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,4,pretrained,val,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,4,pretrained,val,2,Western_Leopard_Toad,0.0,0.0,0.914553752535497,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,4,scratch,test,0,Other_Amphibian,0.0,0.0,0.9962223421478683,0.0,0.0,1.0,0.04,0.985968699406368
faster_rcnn,clahe,4,scratch,test,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,4,scratch,test,2,Western_Leopard_Toad,0.2,1.0,0.9978419206905854,0.058823529411764705,0.1111111111111111,1.0,0.92,0.999325600215808
faster_rcnn,clahe,4,scratch,val,0,Other_Amphibian,0.0,0.0,0.9959432048681541,0.0,0.0,0.0,0.0,0.0
faster_rcnn,clahe,4,scratch,val,1,Small_Mammal,0.0,0.0,0.9997464503042597,0.0,0.0,0.0,0.0,0.0
