model,processing,cycle,variant,dataset,recall_0.1,specificity_0.1
faster_rcnn,plain,1,scratch,test,0.9230769230769231,0.8611186165901108
faster_rcnn,plain,1,scratch,val,0.8,0.9476359938993391
faster_rcnn,plain,2,pretrained,test,0.8461538461538461,0.8428803026209133
faster_rcnn,plain,2,pretrained,val,0.0,0.9547534316217591
faster_rcnn,plain,2,scratch,test,0.9230769230769231,0.9073223453120778
faster_rcnn,plain,2,scratch,val,0.7,0.9847483477376716
faster_rcnn,plain,3,pretrained,test,0.8461538461538461,0.9352877600648474
faster_rcnn,plain,3,pretrained,val,0.0,0.9725470259278088
faster_rcnn,plain,3,scratch,test,0.9230769230769231,0.8277492569575791
faster_rcnn,plain,3,scratch,val,0.7,0.9428063040162684
faster_rcnn,plain,4,pretrained,test,0.7692307692307693,0.9790597135909214
faster_rcnn,plain,4,pretrained,val,0.0,0.9201830198271479
faster_rcnn,plain,4,scratch,test,0.8461538461538461,0.995271548230208
faster_rcnn,plain,4,scratch,val,0.6,0.994661921708185
faster_rcnn,clahe,0,pretrained,test,0.7692307692307693,0.9215077006214537
faster_rcnn,clahe,0,pretrained,val,0.1,0.9290798169801728
faster_rcnn,clahe,0,scratch,test,0.9230769230769231,0.5948392326398271
faster_rcnn,clahe,0,scratch,val,0.8,0.6095577020843925
faster_rcnn,clahe,1,pretrained,test,0.9230769230769231,0.779113753039719
faster_rcnn,clahe,1,pretrained,val,0.1,0.8721403152008135
faster_rcnn,clahe,1,scratch,test,0.9230769230769231,0.9267765468792218
faster_rcnn,clahe,1,scratch,val,1.0,0.699288256227758
faster_rcnn,clahe,2,pretrained,test,0.8461538461538461,0.9458254525803836
faster_rcnn,clahe,2,pretrained,val,0.1,0.971021860701576
faster_rcnn,clahe,2,scratch,test,0.9230769230769231,0.9306944069170494
faster_rcnn,clahe,2,scratch,val,0.8,0.9844941535332994
faster_rcnn,clahe,3,pretrained,test,0.8461538461538461,0.9358281545528235
faster_rcnn,clahe,3,pretrained,val,0.7,0.6306558210472801
faster_rcnn,clahe,3,scratch,test,0.8461538461538461,0.9925695757903269
faster_rcnn,clahe,3,scratch,val,0.4,0.936451448906965
faster_rcnn,clahe,4,pretrained,test,0.8461538461538461,0.8817887057552013
faster_rcnn,clahe,4,pretrained,val,0.0,0.885866802236909
faster_rcnn,clahe,4,scratch,test,0.9230769230769231,0.9968927316941367
faster_rcnn,clahe,4,scratch,val,0.1,0.9959328927300457
