model,processing,cycle,variant,dataset,mAP,binary_auc,binary_recall_0.1,binary_precision_0.1,binary_f1_0.1,Other_Amphibian_auc,Other_Amphibian_ap,Other_Amphibian_recall_0.1,Other_Amphibian_precision_0.1,Other_Amphibian_f1_0.1,Small_Mammal_auc,Small_Mammal_ap,Small_Mammal_recall_0.1,Small_Mammal_precision_0.1,Small_Mammal_f1_0.1,Western_Leopard_Toad_auc,Western_Leopard_Toad_ap,Western_Leopard_Toad_recall_0.1,Western_Leopard_Toad_precision_0.1,Western_Leopard_Toad_f1_0.1
faster_rcnn,plain,0,pretrained,test,0.05,0.9465736911021969,0.9230769230769231,0.005080440304826418,0.010105263157894737,0.46647328656233134,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9987860803884543,0.1,1.0,0.000547945205479452,0.001095290251916758
faster_rcnn,plain,0,pretrained,val,0.0,0.6719115404168785,0.4,0.003805899143672693,0.007540056550424128,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
faster_rcnn,plain,0,scratch,test,0.041666666666666664,0.9495458607860661,0.8461538461538461,0.00746775288526816,0.014804845222072678,0.7886535348084188,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9985163204747775,0.08333333333333333,1.0,0.0015822784810126582,0.00315955766192733
faster_rcnn,plain,0,scratch,val,0.0,0.9443060498220641,1.0,0.00983284169124877,0.019474196689386564,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
faster_rcnn,plain,1,pretrained,test,0.08333333333333333,0.9103776526094819,0.8461538461538461,0.035830618892508145,0.06875,0.9616162978953049,0.0,0.6666666666666666,0.017241379310344827,0.03361344537815126,,0.0,0.0,0.0,0.0,0.9993256002158079,0.16666666666666666,1.0,0.0047169811320754715,0.009389671361502348
faster_rcnn,plain,1,pretrained,val,0.0,0.3007880020335536,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
faster_rcnn,plain,1,scratch,test,0.05,0.9295096959241784,0.9230769230769231,0.011194029850746268,0.022119815668202765,0.7810532469868682,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9987860803884543,0.1,1.0,0.003401360544217687,0.006779661016949152
faster_rcnn,plain,1,scratch,val,0.0,0.9292069140823589,0.8,0.03333333333333333,0.064,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
faster_rcnn,plain,2,pretrained,test,0.07142857142857142,0.9276702762247211,0.8461538461538461,0.008681925808997633,0.0171875,0.8060577441985969,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9991907202589695,0.14285714285714285,1.0,0.001122334455667789,0.002242152466367713
faster_rcnn,plain,2,pretrained,val,0.0,0.6507880020335537,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
faster_rcnn,plain,2,scratch,test,0.03333333333333333,0.9239758485232682,0.9230769230769231,0.016150740242261104,0.031746031746031744,0.9135860766324878,0.0,0.3333333333333333,0.001597444089456869,0.003179650238473768,,0.0,0.0,0.0,0.0,0.9981116806042623,0.06666666666666667,1.0,0.0018281535648994515,0.0036496350364963502
faster_rcnn,plain,2,scratch,val,0.0,0.9308083375699033,0.8,0.10526315789473684,0.18604651162790697,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
