layer                                    name                type  gradient  parameters               shape        mu     sigma
   41         model.4.m.0.m.1.cv2.conv.weight              Conv2d     False       36864      [64, 64, 3, 3]  -0.00146    0.0411        float32
   42           model.4.m.0.m.1.cv2.bn.weight         BatchNorm2d     False          64                [64]     0.922     0.164        float32
   42             model.4.m.0.m.1.cv2.bn.bias         BatchNorm2d     False          64                [64]       1.3     0.619        float32
   43                     model.5.conv.weight              Conv2d     False  2.3593e+06    [512, 512, 3, 3] -0.000329    0.0133        float32
   44                       model.5.bn.weight         BatchNorm2d     False         512               [512]     0.797     0.196        float32
   44                         model.5.bn.bias         BatchNorm2d     False         512               [512]    -0.427     0.623        float32
   45                 model.6.cv1.conv.weight              Conv2d     False      262144    [512, 512, 1, 1]  -0.00288    0.0307        float32
   46                   model.6.cv1.bn.weight         BatchNorm2d     False         512               [512]     0.845     0.168        float32
   46                     model.6.cv1.bn.bias         BatchNorm2d     False         512               [512]    -0.428     0.535        float32
   47                 model.6.cv2.conv.weight              Conv2d     False      393216    [512, 768, 1, 1]  -0.00186    0.0275        float32
   48                   model.6.cv2.bn.weight         BatchNorm2d     False         512               [512]     0.878     0.174        float32
   48                     model.6.cv2.bn.bias         BatchNorm2d     False         512               [512]    -0.863     0.622        float32
   49             model.6.m.0.cv1.conv.weight              Conv2d     False       32768    [128, 256, 1, 1]  -0.00318    0.0457        float32
   50               model.6.m.0.cv1.bn.weight         BatchNorm2d     False         128               [128]     0.542     0.129        float32
   50                 model.6.m.0.cv1.bn.bias         BatchNorm2d     False         128               [128]    0.0178     0.518        float32
   51             model.6.m.0.cv2.conv.weight              Conv2d     False       32768    [128, 256, 1, 1]  -0.00303    0.0339        float32
   52               model.6.m.0.cv2.bn.weight         BatchNorm2d     False         128               [128]     0.929     0.139        float32
   52                 model.6.m.0.cv2.bn.bias         BatchNorm2d     False         128               [128]    -0.319     0.213        float32
   53             model.6.m.0.cv3.conv.weight              Conv2d     False       65536    [256, 256, 1, 1]   -0.0046    0.0404        float32
   54               model.6.m.0.cv3.bn.weight         BatchNorm2d     False         256               [256]       1.1     0.159        float32
   54                 model.6.m.0.cv3.bn.bias         BatchNorm2d     False         256               [256]    -0.528     0.456        float32
   55         model.6.m.0.m.0.cv1.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00232    0.0267        float32
   56           model.6.m.0.m.0.cv1.bn.weight         BatchNorm2d     False         128               [128]     0.997     0.157        float32
   56             model.6.m.0.m.0.cv1.bn.bias         BatchNorm2d     False         128               [128]    -0.885     0.459        float32
   57         model.6.m.0.m.0.cv2.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00181    0.0265        float32
   58           model.6.m.0.m.0.cv2.bn.weight         BatchNorm2d     False         128               [128]     0.836      0.21        float32
   58             model.6.m.0.m.0.cv2.bn.bias         BatchNorm2d     False         128               [128]     -0.33     0.466        float32
   59         model.6.m.0.m.1.cv1.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00255    0.0272        float32
   60           model.6.m.0.m.1.cv1.bn.weight         BatchNorm2d     False         128               [128]     0.988      0.16        float32
   60             model.6.m.0.m.1.cv1.bn.bias         BatchNorm2d     False         128               [128]     -0.77     0.486        float32
   61         model.6.m.0.m.1.cv2.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00117    0.0263        float32
   62           model.6.m.0.m.1.cv2.bn.weight         BatchNorm2d     False         128               [128]      1.33     0.243        float32
   62             model.6.m.0.m.1.cv2.bn.bias         BatchNorm2d     False         128               [128]     0.404     0.585        float32
   63                     model.7.conv.weight              Conv2d     False  2.3593e+06    [512, 512, 3, 3] -0.000347    0.0111        float32
   64                       model.7.bn.weight         BatchNorm2d     False         512               [512]     0.854     0.168        float32
   64                         model.7.bn.bias         BatchNorm2d     False         512               [512]    -0.304     0.585        float32
   65                 model.8.cv1.conv.weight              Conv2d     False      262144    [512, 512, 1, 1]  -0.00219    0.0257        float32
   66                   model.8.cv1.bn.weight         BatchNorm2d     False         512               [512]     0.933     0.177        float32
   66                     model.8.cv1.bn.bias         BatchNorm2d     False         512               [512]    -0.177     0.653        float32
   67                 model.8.cv2.conv.weight              Conv2d     False      393216    [512, 768, 1, 1]  -0.00246    0.0239        float32
   68                   model.8.cv2.bn.weight         BatchNorm2d     False         512               [512]     0.998     0.259        float32
   68                     model.8.cv2.bn.bias         BatchNorm2d     False         512               [512]   -0.0923     0.628        float32
   69             model.8.m.0.cv1.conv.weight              Conv2d     False       32768    [128, 256, 1, 1]  -0.00515    0.0355        float32
   70               model.8.m.0.cv1.bn.weight         BatchNorm2d     False         128               [128]     0.588     0.165        float32
