layer                                    name                type  gradient  parameters               shape        mu     sigma
  182    model.22.m.0.1.attn.proj.conv.weight              Conv2d     False       65536    [256, 256, 1, 1]    -7e-05    0.0371        float32
  183      model.22.m.0.1.attn.proj.bn.weight         BatchNorm2d     False         256               [256]     0.806     0.103        float32
  183        model.22.m.0.1.attn.proj.bn.bias         BatchNorm2d     False         256               [256] -4.51e-07  1.32e-05        float32
  184            model.22.m.0.1.attn.proj.act            Identity     False           0                  []         -         -              -
  185      model.22.m.0.1.attn.pe.conv.weight              Conv2d     False        2304      [256, 1, 3, 3]   -0.0176    0.0822        float32
  186        model.22.m.0.1.attn.pe.bn.weight         BatchNorm2d     False         256               [256]     0.891     0.199        float32
  186          model.22.m.0.1.attn.pe.bn.bias         BatchNorm2d     False         256               [256] -4.69e-07  8.17e-06        float32
  187              model.22.m.0.1.attn.pe.act            Identity     False           0                  []         -         -              -
  188        model.22.m.0.1.ffn.0.conv.weight              Conv2d     False      131072    [512, 256, 1, 1]   -0.0022    0.0285        float32
  189          model.22.m.0.1.ffn.0.bn.weight         BatchNorm2d     False         512               [512]      1.16      0.17        float32
  189            model.22.m.0.1.ffn.0.bn.bias         BatchNorm2d     False         512               [512]    -0.319     0.129        float32
  190        model.22.m.0.1.ffn.1.conv.weight              Conv2d     False      131072    [256, 512, 1, 1]  0.000417    0.0251        float32
  191          model.22.m.0.1.ffn.1.bn.weight         BatchNorm2d     False         256               [256]     0.997    0.0743        float32
  191            model.22.m.0.1.ffn.1.bn.bias         BatchNorm2d     False         256               [256] -2.15e-07  7.75e-06        float32
  192                model.22.m.0.1.ffn.1.act            Identity     False           0                  []         -         -              -
  193            model.23.cv2.0.0.conv.weight              Conv2d     False      147456     [64, 256, 3, 3]   -0.0007    0.0134        float32
  194              model.23.cv2.0.0.bn.weight         BatchNorm2d     False          64                [64]       1.7     0.945        float32
  194                model.23.cv2.0.0.bn.bias         BatchNorm2d     False          64                [64]      0.22      1.47        float32
  195            model.23.cv2.0.1.conv.weight              Conv2d     False       36864      [64, 64, 3, 3]  -0.00265    0.0257        float32
  196              model.23.cv2.0.1.bn.weight         BatchNorm2d     False          64                [64]       1.1      0.86        float32
  196                model.23.cv2.0.1.bn.bias         BatchNorm2d     False          64                [64]    -0.306     0.933        float32
  197                 model.23.cv2.0.2.weight              Conv2d     False         256       [4, 64, 1, 1]     0.041     0.158        float32
  197                   model.23.cv2.0.2.bias              Conv2d     False           4                 [4]      1.54     0.163        float32
  198            model.23.cv2.1.0.conv.weight              Conv2d     False      294912     [64, 512, 3, 3] -0.000571    0.0142        float32
  199              model.23.cv2.1.0.bn.weight         BatchNorm2d     False          64                [64]      1.65     0.694        float32
  199                model.23.cv2.1.0.bn.bias         BatchNorm2d     False          64                [64]   -0.0807     0.884        float32
  200            model.23.cv2.1.1.conv.weight              Conv2d     False       36864      [64, 64, 3, 3]  -0.00395    0.0447        float32
  201              model.23.cv2.1.1.bn.weight         BatchNorm2d     False          64                [64]     0.743     0.786        float32
  201                model.23.cv2.1.1.bn.bias         BatchNorm2d     False          64                [64]   -0.0408       0.4        float32
  202                 model.23.cv2.1.2.weight              Conv2d     False         256       [4, 64, 1, 1]     0.103     0.282        float32
  202                   model.23.cv2.1.2.bias              Conv2d     False           4                 [4]      2.86     0.494        float32
  203            model.23.cv2.2.0.conv.weight              Conv2d     False      294912     [64, 512, 3, 3] -0.000638     0.016        float32
  204              model.23.cv2.2.0.bn.weight         BatchNorm2d     False          64                [64]      1.73     0.711        float32
  204                model.23.cv2.2.0.bn.bias         BatchNorm2d     False          64                [64]    0.0486     0.766        float32
  205            model.23.cv2.2.1.conv.weight              Conv2d     False       36864      [64, 64, 3, 3]  -0.00808    0.0542        float32
  206              model.23.cv2.2.1.bn.weight         BatchNorm2d     False          64                [64]      1.14     0.938        float32
  206                model.23.cv2.2.1.bn.bias         BatchNorm2d     False          64                [64]    -0.235     0.601        float32
  207                 model.23.cv2.2.2.weight              Conv2d     False         256       [4, 64, 1, 1]    0.0823     0.275        float32
  207                   model.23.cv2.2.2.bias              Conv2d     False           4                 [4]      3.12     0.517        float32
  208          model.23.cv3.0.0.0.conv.weight              Conv2d     False        2304      [256, 1, 3, 3]   0.00738    0.0523        float32
  209            model.23.cv3.0.0.0.bn.weight         BatchNorm2d     False         256               [256]     0.557     0.346        float32
  209              model.23.cv3.0.0.0.bn.bias         BatchNorm2d     False         256               [256]     0.711     0.676        float32
  210          model.23.cv3.0.0.1.conv.weight              Conv2d     False       65536    [256, 256, 1, 1]  0.000921    0.0682        float32
  211            model.23.cv3.0.0.1.bn.weight         BatchNorm2d     False         256               [256]       0.8     0.261        float32
  211              model.23.cv3.0.0.1.bn.bias         BatchNorm2d     False         256               [256]   -0.0477     0.505        float32
  212          model.23.cv3.0.1.0.conv.weight              Conv2d     False        2304      [256, 1, 3, 3]   0.00263    0.0517        float32
  213            model.23.cv3.0.1.0.bn.weight         BatchNorm2d     False         256               [256]     0.691       0.4        float32
  213              model.23.cv3.0.1.0.bn.bias         BatchNorm2d     False         256               [256]     0.418     0.567        float32
  214          model.23.cv3.0.1.1.conv.weight              Conv2d     False       65536    [256, 256, 1, 1]   5.1e-05     0.132        float32
  215            model.23.cv3.0.1.1.bn.weight         BatchNorm2d     False         256               [256]      1.68     0.577        float32
  215              model.23.cv3.0.1.1.bn.bias         BatchNorm2d     False         256               [256]     0.612      0.82        float32
  216                 model.23.cv3.0.2.weight              Conv2d     False         768      [3, 256, 1, 1]   -0.0372    0.0582        float32
  216                   model.23.cv3.0.2.bias              Conv2d     False           3                 [3]     -7.13     0.504        float32
  217          model.23.cv3.1.0.0.conv.weight              Conv2d     False        4608      [512, 1, 3, 3]   0.00445    0.0529        float32
  218            model.23.cv3.1.0.0.bn.weight         BatchNorm2d     False         512               [512]     0.906     0.315        float32
  218              model.23.cv3.1.0.0.bn.bias         BatchNorm2d     False         512               [512]     0.173     0.334        float32
  219          model.23.cv3.1.0.1.conv.weight              Conv2d     False      131072    [256, 512, 1, 1] -0.000108    0.0443        float32
  220            model.23.cv3.1.0.1.bn.weight         BatchNorm2d     False         256               [256]     0.929     0.197        float32
  220              model.23.cv3.1.0.1.bn.bias         BatchNorm2d     False         256               [256]    0.0866     0.385        float32
  221          model.23.cv3.1.1.0.conv.weight              Conv2d     False        2304      [256, 1, 3, 3]  -0.00221    0.0673        float32
  222            model.23.cv3.1.1.0.bn.weight         BatchNorm2d     False         256               [256]     0.797     0.409        float32
  222              model.23.cv3.1.1.0.bn.bias         BatchNorm2d     False         256               [256]     0.327     0.474        float32
  223          model.23.cv3.1.1.1.conv.weight              Conv2d     False       65536    [256, 256, 1, 1]   -0.0011    0.0848        float32
  224            model.23.cv3.1.1.1.bn.weight         BatchNorm2d     False         256               [256]       1.5     0.632        float32
  224              model.23.cv3.1.1.1.bn.bias         BatchNorm2d     False         256               [256]     0.529     0.792        float32
  225                 model.23.cv3.1.2.weight              Conv2d     False         768      [3, 256, 1, 1]    -0.045     0.105        float32
  225                   model.23.cv3.1.2.bias              Conv2d     False           3                 [3]     -5.27      1.02        float32
  226          model.23.cv3.2.0.0.conv.weight              Conv2d     False        4608      [512, 1, 3, 3]   0.00347    0.0605        float32
  227            model.23.cv3.2.0.0.bn.weight         BatchNorm2d     False         512               [512]     0.982     0.245        float32
  227              model.23.cv3.2.0.0.bn.bias         BatchNorm2d     False         512               [512]    0.0457      0.22        float32
  228          model.23.cv3.2.0.1.conv.weight              Conv2d     False      131072    [256, 512, 1, 1] -0.000518    0.0401        float32
  229            model.23.cv3.2.0.1.bn.weight         BatchNorm2d     False         256               [256]      1.01     0.111        float32
  229              model.23.cv3.2.0.1.bn.bias         BatchNorm2d     False         256               [256]    0.0615     0.331        float32
  230          model.23.cv3.2.1.0.conv.weight              Conv2d     False        2304      [256, 1, 3, 3]  -0.00681    0.0699        float32
  231            model.23.cv3.2.1.0.bn.weight         BatchNorm2d     False         256               [256]     0.847     0.437        float32
  231              model.23.cv3.2.1.0.bn.bias         BatchNorm2d     False         256               [256]     0.178     0.334        float32
  232          model.23.cv3.2.1.1.conv.weight              Conv2d     False       65536    [256, 256, 1, 1]  -0.00163    0.0724        float32
  233            model.23.cv3.2.1.1.bn.weight         BatchNorm2d     False         256               [256]      1.34     0.601        float32
  233              model.23.cv3.2.1.1.bn.bias         BatchNorm2d     False         256               [256]     0.471     0.702        float32
  234                 model.23.cv3.2.2.weight              Conv2d     False         768      [3, 256, 1, 1]   -0.0435     0.113        float32
  234                   model.23.cv3.2.2.bias              Conv2d     False           3                 [3]      -4.5      1.05        float32
  235                            model.23.dfl            Identity     False           0                  []         -         -              -
  236    model.23.one2one_cv2.0.0.conv.weight              Conv2d     False      147456     [64, 256, 3, 3] -8.04e-05    0.0161        float32
  237      model.23.one2one_cv2.0.0.bn.weight         BatchNorm2d     False          64                [64]      1.69      0.81        float32
  237        model.23.one2one_cv2.0.0.bn.bias         BatchNorm2d     False          64                [64]     0.286      1.42        float32
  238            model.23.one2one_cv2.0.0.act                SiLU     False           0                  []         -         -              -
  239    model.23.one2one_cv2.0.1.conv.weight              Conv2d     False       36864      [64, 64, 3, 3]  -0.00381    0.0282        float32
  240      model.23.one2one_cv2.0.1.bn.weight         BatchNorm2d     False          64                [64]      1.16     0.858        float32
  240        model.23.one2one_cv2.0.1.bn.bias         BatchNorm2d     False          64                [64]    -0.491     0.955        float32
  241         model.23.one2one_cv2.0.2.weight              Conv2d     False         256       [4, 64, 1, 1]     0.031     0.148        float32
  241           model.23.one2one_cv2.0.2.bias              Conv2d     False           4                 [4]      1.46     0.137        float32
  242    model.23.one2one_cv2.1.0.conv.weight              Conv2d     False      294912     [64, 512, 3, 3] -0.000735    0.0182        float32
  243      model.23.one2one_cv2.1.0.bn.weight         BatchNorm2d     False          64                [64]      1.81     0.741        float32
  243        model.23.one2one_cv2.1.0.bn.bias         BatchNorm2d     False          64                [64]    -0.232      1.12        float32
  244    model.23.one2one_cv2.1.1.conv.weight              Conv2d     False       36864      [64, 64, 3, 3]  -0.00427    0.0536        float32
  245      model.23.one2one_cv2.1.1.bn.weight         BatchNorm2d     False          64                [64]         1     0.897        float32
  245        model.23.one2one_cv2.1.1.bn.bias         BatchNorm2d     False          64                [64]    -0.402     0.776        float32
  246         model.23.one2one_cv2.1.2.weight              Conv2d     False         256       [4, 64, 1, 1]    0.0883     0.357        float32
  246           model.23.one2one_cv2.1.2.bias              Conv2d     False           4                 [4]      2.48       0.5        float32
  247    model.23.one2one_cv2.2.0.conv.weight              Conv2d     False      294912     [64, 512, 3, 3] -0.000824    0.0207        float32
  248      model.23.one2one_cv2.2.0.bn.weight         BatchNorm2d     False          64                [64]      1.69     0.503        float32
  248        model.23.one2one_cv2.2.0.bn.bias         BatchNorm2d     False          64                [64]    0.0199     0.734        float32
  249    model.23.one2one_cv2.2.1.conv.weight              Conv2d     False       36864      [64, 64, 3, 3]  -0.00873    0.0677        float32
  250      model.23.one2one_cv2.2.1.bn.weight         BatchNorm2d     False          64                [64]      1.07     0.837        float32
  250        model.23.one2one_cv2.2.1.bn.bias         BatchNorm2d     False          64                [64]    -0.352     0.612        float32
  251         model.23.one2one_cv2.2.2.weight              Conv2d     False         256       [4, 64, 1, 1]    0.0865     0.329        float32
  251           model.23.one2one_cv2.2.2.bias              Conv2d     False           4                 [4]      3.22     0.526        float32
  252  model.23.one2one_cv3.0.0.0.conv.weight              Conv2d     False        2304      [256, 1, 3, 3]    0.0051    0.0687        float32
  253    model.23.one2one_cv3.0.0.0.bn.weight         BatchNorm2d     False         256               [256]     0.455     0.325        float32
  253      model.23.one2one_cv3.0.0.0.bn.bias         BatchNorm2d     False         256               [256]      1.11     0.768        float32
  254          model.23.one2one_cv3.0.0.0.act                SiLU     False           0                  []         -         -              -
  255  model.23.one2one_cv3.0.0.1.conv.weight              Conv2d     False       65536    [256, 256, 1, 1]   0.00111    0.0743        float32
  256    model.23.one2one_cv3.0.0.1.bn.weight         BatchNorm2d     False         256               [256]     0.688     0.315        float32
  256      model.23.one2one_cv3.0.0.1.bn.bias         BatchNorm2d     False         256               [256]    0.0407     0.598        float32
  257  model.23.one2one_cv3.0.1.0.conv.weight              Conv2d     False        2304      [256, 1, 3, 3]   0.00845    0.0687        float32
  258    model.23.one2one_cv3.0.1.0.bn.weight         BatchNorm2d     False         256               [256]     0.771     0.505        float32
  258      model.23.one2one_cv3.0.1.0.bn.bias         BatchNorm2d     False         256               [256]      0.58     0.708        float32
  259  model.23.one2one_cv3.0.1.1.conv.weight              Conv2d     False       65536    [256, 256, 1, 1]   0.00077     0.167        float32
  260    model.23.one2one_cv3.0.1.1.bn.weight         BatchNorm2d     False         256               [256]      1.76      0.92        float32
  260      model.23.one2one_cv3.0.1.1.bn.bias         BatchNorm2d     False         256               [256]     0.636     0.842        float32
  261         model.23.one2one_cv3.0.2.weight              Conv2d     False         768      [3, 256, 1, 1]   -0.0398     0.066        float32
  261           model.23.one2one_cv3.0.2.bias              Conv2d     False           3                 [3]     -6.44      1.16        float32
  262  model.23.one2one_cv3.1.0.0.conv.weight              Conv2d     False        4608      [512, 1, 3, 3]   0.00857     0.131        float32
  263    model.23.one2one_cv3.1.0.0.bn.weight         BatchNorm2d     False         512               [512]     0.826     0.393        float32
  263      model.23.one2one_cv3.1.0.0.bn.bias         BatchNorm2d     False         512               [512]     0.393     0.386        float32
  264  model.23.one2one_cv3.1.0.1.conv.weight              Conv2d     False      131072    [256, 512, 1, 1]  0.000198    0.0561        float32
  265    model.23.one2one_cv3.1.0.1.bn.weight         BatchNorm2d     False         256               [256]     0.887     0.239        float32
  265      model.23.one2one_cv3.1.0.1.bn.bias         BatchNorm2d     False         256               [256]   -0.0142       0.7        float32
  266  model.23.one2one_cv3.1.1.0.conv.weight              Conv2d     False        2304      [256, 1, 3, 3]  -0.00475     0.143        float32
  267    model.23.one2one_cv3.1.1.0.bn.weight         BatchNorm2d     False         256               [256]     0.786     0.623        float32
  267      model.23.one2one_cv3.1.1.0.bn.bias         BatchNorm2d     False         256               [256]     0.292     0.642        float32
  268  model.23.one2one_cv3.1.1.1.conv.weight              Conv2d     False       65536    [256, 256, 1, 1] -0.000391     0.133        float32
  269    model.23.one2one_cv3.1.1.1.bn.weight         BatchNorm2d     False         256               [256]      1.73      1.17        float32
  269      model.23.one2one_cv3.1.1.1.bn.bias         BatchNorm2d     False         256               [256]      0.58     0.739        float32
  270         model.23.one2one_cv3.1.2.weight              Conv2d     False         768      [3, 256, 1, 1]   -0.0657     0.144        float32
  270           model.23.one2one_cv3.1.2.bias              Conv2d     False           3                 [3]     -5.52     0.797        float32
  271  model.23.one2one_cv3.2.0.0.conv.weight              Conv2d     False        4608      [512, 1, 3, 3]   0.00996     0.157        float32
  272    model.23.one2one_cv3.2.0.0.bn.weight         BatchNorm2d     False         512               [512]     0.969     0.419        float32
  272      model.23.one2one_cv3.2.0.0.bn.bias         BatchNorm2d     False         512               [512]     0.143     0.275        float32
  273  model.23.one2one_cv3.2.0.1.conv.weight              Conv2d     False      131072    [256, 512, 1, 1] -0.000663    0.0522        float32
  274    model.23.one2one_cv3.2.0.1.bn.weight         BatchNorm2d     False         256               [256]     0.987     0.228        float32
  274      model.23.one2one_cv3.2.0.1.bn.bias         BatchNorm2d     False         256               [256]    0.0207     0.458        float32
  275  model.23.one2one_cv3.2.1.0.conv.weight              Conv2d     False        2304      [256, 1, 3, 3]   -0.0195     0.164        float32
  276    model.23.one2one_cv3.2.1.0.bn.weight         BatchNorm2d     False         256               [256]     0.799     0.737        float32
  276      model.23.one2one_cv3.2.1.0.bn.bias         BatchNorm2d     False         256               [256]     0.149     0.409        float32
  277  model.23.one2one_cv3.2.1.1.conv.weight              Conv2d     False       65536    [256, 256, 1, 1]   0.00117     0.104        float32
  278    model.23.one2one_cv3.2.1.1.bn.weight         BatchNorm2d     False         256               [256]      1.59     0.965        float32
  278      model.23.one2one_cv3.2.1.1.bn.bias         BatchNorm2d     False         256               [256]     0.511     0.634        float32
  279         model.23.one2one_cv3.2.2.weight              Conv2d     False         768      [3, 256, 1, 1]    -0.071     0.176        float32
  279           model.23.one2one_cv3.2.2.bias              Conv2d     False           3                 [3]     -4.83     0.656        float32
YOLO26m summary: 280 layers, 21,777,514 parameters, 0 gradients, 74.7 GFLOPs
