epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,140.089,0.80412,0.62302,0.00437,0.88599,0.77584,0.85342,0.61703,1.23346,1.03869,0.00631,0.000462281,0.000462281,0.000462281
43,143.277,0.80561,0.63849,0.00431,0.89988,0.711,0.83823,0.62555,1.18298,1.10977,0.00592,0.000438703,0.000438703,0.000438703
44,146.257,0.71373,0.46783,0.00448,0.84168,0.72159,0.81897,0.61903,1.11841,1.25231,0.00567,0.000415124,0.000415124,0.000415124
45,149.169,0.71752,0.55809,0.00472,0.88313,0.72172,0.83238,0.5974,1.1964,1.29116,0.0062,0.000391546,0.000391546,0.000391546
46,152.054,0.81176,0.70643,0.00529,0.89699,0.69856,0.83403,0.60632,1.18085,1.28113,0.00612,0.000367967,0.000367967,0.000367967
47,154.95,0.72238,0.52441,0.00345,0.92627,0.67943,0.84951,0.6301,1.10043,1.32097,0.00565,0.000344389,0.000344389,0.000344389
48,157.925,0.72471,0.44928,0.00428,0.9195,0.72231,0.85604,0.64563,1.07685,1.40464,0.00555,0.00032081,0.00032081,0.00032081
49,161.007,0.73926,0.5965,0.00453,0.93224,0.71249,0.85877,0.64534,1.07746,1.46412,0.00545,0.000297232,0.000297232,0.000297232
50,163.868,0.69759,0.49288,0.00451,0.8976,0.70319,0.85404,0.6451,1.05668,1.4991,0.00536,0.000273654,0.000273654,0.000273654
51,170.94,0.59234,0.4516,0.00394,0.88885,0.69745,0.84648,0.64448,1.01933,1.6101,0.0052,0.000250075,0.000250075,0.000250075
52,174.043,0.62913,0.40871,0.00453,0.88673,0.67065,0.82208,0.62438,0.99718,1.76759,0.00507,0.000226497,0.000226497,0.000226497
53,177.367,0.58414,0.39242,0.00413,0.90057,0.66971,0.81052,0.61763,1.0088,1.8595,0.00508,0.000202918,0.000202918,0.000202918
54,180.208,0.57545,0.39466,0.00434,0.89483,0.66215,0.80629,0.62118,1.00418,1.89702,0.00509,0.00017934,0.00017934,0.00017934
55,183.301,0.54389,0.29623,0.00385,0.85345,0.66112,0.80268,0.62119,1.00459,1.86071,0.00511,0.000155761,0.000155761,0.000155761
56,186.166,0.54405,0.3376,0.00363,0.83614,0.66267,0.80515,0.61813,1.01717,1.7869,0.00514,0.000132183,0.000132183,0.000132183
57,189.041,0.54857,0.35856,0.00387,0.88741,0.64015,0.80889,0.6201,1.02169,1.74109,0.00515,0.000108604,0.000108604,0.000108604
58,191.915,0.47674,0.32909,0.00349,0.89547,0.65151,0.8173,0.63054,1.01758,1.70764,0.00513,8.50255e-05,8.50255e-05,8.50255e-05
59,194.791,0.46197,0.31761,0.00269,0.87114,0.66905,0.82497,0.63595,1.00809,1.68744,0.00512,6.1447e-05,6.1447e-05,6.1447e-05
60,197.804,0.53498,0.29709,0.00346,0.88185,0.66802,0.82712,0.63808,1.00741,1.66555,0.00513,3.78685e-05,3.78685e-05,3.78685e-05
