epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,48896.6,0.28547,0.42363,0.24022,0.91943,0.91573,0.94341,0.8288,0.10108,0.21379,0.14977,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,50431.3,0.26305,0.40973,0.23024,0.92055,0.90971,0.94267,0.82846,0.0966,0.20378,0.14967,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,51984.5,0.23489,0.39035,0.22155,0.92548,0.9079,0.94122,0.80912,0.12569,0.23843,0.16256,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,53410.5,0.23341,0.38557,0.2198,0.93282,0.90323,0.94267,0.78981,0.14004,0.25542,0.16888,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,54963.3,0.23298,0.38728,0.22096,0.92796,0.90568,0.94261,0.78838,0.13544,0.24821,0.17032,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,56516.2,0.21532,0.3775,0.20817,0.92327,0.90937,0.94316,0.78844,0.13134,0.24199,0.17031,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,57947.7,0.22361,0.3803,0.21187,0.92802,0.9104,0.94376,0.78854,0.13059,0.24219,0.16945,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,59503.4,0.21771,0.37442,0.20981,0.92743,0.90792,0.94483,0.79105,0.12935,0.24146,0.16954,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,61051,0.20638,0.36822,0.20212,0.91943,0.92303,0.94776,0.80107,0.1243,0.23579,0.16716,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,62475.1,0.21283,0.3709,0.20488,0.93185,0.90985,0.94732,0.80979,0.11968,0.22961,0.164,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,64020.7,0.21978,0.37017,0.20956,0.93215,0.9118,0.94736,0.81276,0.118,0.2271,0.16313,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,65565.3,0.20582,0.35746,0.20276,0.9314,0.9119,0.94577,0.81403,0.11649,0.2253,0.16337,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,66994.3,0.21705,0.3656,0.2095,0.93115,0.9131,0.94594,0.81669,0.11542,0.22454,0.16282,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,68537.7,0.20189,0.35607,0.19849,0.93384,0.90877,0.94428,0.81778,0.11571,0.22471,0.16351,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,70087.9,0.20772,0.36046,0.202,0.93185,0.90669,0.94401,0.81972,0.11389,0.22201,0.16274,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,71516.3,0.21555,0.36637,0.20837,0.93234,0.91004,0.94466,0.82123,0.11316,0.22068,0.16225,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,73061.5,0.19538,0.34568,0.19553,0.93228,0.90712,0.9442,0.82289,0.11162,0.21782,0.16195,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,74611.9,0.19905,0.34931,0.19793,0.93342,0.90672,0.94353,0.82337,0.11025,0.21678,0.16103,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,76037.6,0.21553,0.35795,0.20492,0.92934,0.9072,0.94325,0.82441,0.10885,0.2141,0.16096,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,77590.4,0.21446,0.35917,0.20599,0.92936,0.90466,0.9429,0.82263,0.1106,0.21567,0.16231,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
