model,processing,cycle,variant,dataset,mAP,mAP50-95,mAR,precision,recall,Other_Amphibian_ap,Other_Amphibian_precision_optimal,Other_Amphibian_recall_optimal,Other_Amphibian_optimal_threshold,Other_Amphibian_specificity_optimal,Small_Mammal_ap,Small_Mammal_precision_optimal,Small_Mammal_recall_optimal,Small_Mammal_optimal_threshold,Small_Mammal_specificity_optimal,Western_Leopard_Toad_ap,Western_Leopard_Toad_precision_optimal,Western_Leopard_Toad_recall_optimal,Western_Leopard_Toad_optimal_threshold,Western_Leopard_Toad_specificity_optimal
yolo,plain,0,pretrained,test,0.6372027124248331,0.5044438617894581,0.6644746359416076,0.5757252315393934,0.6644746359416076,0.7617290330410882,0.5757252315393934,0.6644746359416076,0.25,0.95,0.27611111111111114,0.5757252315393934,0.6644746359416076,0.25,0.95,0.8737679931222998,0.5757252315393934,0.6644746359416076,0.25,0.95
yolo,plain,0,pretrained,val,0.7208569429931737,0.5370167910965046,0.6147964699974061,0.6490601943611746,0.6147964699974061,0.5486375112312798,0.6490601943611746,0.6147964699974061,0.25,0.95,0.995,0.6490601943611746,0.6147964699974061,0.25,0.95,0.6189333177482415,0.6490601943611746,0.6147964699974061,0.25,0.95
yolo,plain,0,pretrained,test,0.6375920945426014,0.50325534078264,0.614942428198665,0.6263712798848369,0.614942428198665,0.7525891520614203,0.6263712798848369,0.614942428198665,0.25,0.95,0.29000000000000004,0.6263712798848369,0.614942428198665,0.25,0.95,0.8701871315663835,0.6263712798848369,0.614942428198665,0.25,0.95
yolo,plain,0,pretrained,val,0.719734931576184,0.5337549751507041,0.6056974188445745,0.663227293251633,0.6056974188445745,0.5456769441591375,0.663227293251633,0.6056974188445745,0.25,0.95,0.995,0.663227293251633,0.6056974188445745,0.25,0.95,0.6185278505694143,0.663227293251633,0.6056974188445745,0.25,0.95
yolo,plain,0,scratch,test,0.5354840170004849,0.4066585810282337,0.392523284210049,0.4886182909172521,0.392523284210049,0.6370807856285499,0.4886182909172521,0.392523284210049,0.25,0.95,0.16654545454545455,0.4886182909172521,0.392523284210049,0.25,0.95,0.8028258108274503,0.4886182909172521,0.392523284210049,0.25,0.95
yolo,plain,0,scratch,val,0.6020205526889403,0.46615356673776404,0.5591169546143697,0.6231128592098323,0.5591169546143697,0.6242428457198405,0.6231128592098323,0.5591169546143697,0.25,0.95,0.4975,0.6231128592098323,0.5591169546143697,0.25,0.95,0.6843188123469804,0.6231128592098323,0.5591169546143697,0.25,0.95
yolo,plain,1,pretrained,test,0.6326784475323325,0.459254306113345,0.6267107729148328,0.7023079733205014,0.6267107729148328,0.733182990166713,0.7023079733205014,0.6267107729148328,0.25,0.95,0.25730769230769224,0.7023079733205014,0.6267107729148328,0.25,0.95,0.9075446601225923,0.7023079733205014,0.6267107729148328,0.25,0.95
yolo,plain,1,pretrained,val,0.7248689205256138,0.5400600821900389,0.45868500347115404,0.854222377754995,0.45868500347115404,0.5932967416165856,0.854222377754995,0.45868500347115404,0.25,0.95,0.995,0.854222377754995,0.45868500347115404,0.25,0.95,0.586310019960256,0.854222377754995,0.45868500347115404,0.25,0.95
yolo,plain,1,pretrained,test,0.7309476849312552,0.46710855542345525,0.5186656415218197,0.7193856666296258,0.5186656415218197,0.689251174772949,0.7193856666296258,0.5186656415218197,0.25,0.95,0.6199999999999999,0.7193856666296258,0.5186656415218197,0.25,0.95,0.8835918800208168,0.7193856666296258,0.5186656415218197,0.25,0.95
yolo,plain,1,pretrained,val,0.7142607045209756,0.4696119506440432,0.5512413090794633,0.8357169870067866,0.5512413090794633,0.58100472027963,0.8357169870067866,0.5512413090794633,0.25,0.95,0.995,0.8357169870067866,0.5512413090794633,0.25,0.95,0.5667773932832965,0.8357169870067866,0.5512413090794633,0.25,0.95
