crop_Z,crop_R,score,year,original_path_Z,original_path_R
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0211_crop0.jpg,21,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0211.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__02.10.2024__5R__101MEDIA__DSCF0501_crop0.jpg,21,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/02.10.2024/5R/101MEDIA/DSCF0501.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0212_crop0.jpg,21,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0212.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0361_crop0.jpg,2025__Documents__21-28.08.2025__5R__100MEDIA__DSCF0450_crop0.jpg,21,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0361.JPG,/srv/shared_leopard_toad/2025/Documents/21-28.08.2025/5R/100MEDIA/DSCF0450.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0213_crop0.jpg,20,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0213.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0360_crop0.jpg,2025__Documents__06.10-13.10.2025__4R__106MEDIA__DSCF0044_crop0.jpg,20,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0360.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4R/106MEDIA/DSCF0044.JPG
2025__Documents__12.19.08.2025__4Z__108MEDIA__DSCF0724_crop0.jpg,2025__Documents__12.19.08.2025__4R__108MEDIA__DSCF0718_crop0.jpg,20,2025,/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/4Z/108MEDIA/DSCF0724.JPG,/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/4R/108MEDIA/DSCF0718.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0212_crop0.jpg,19,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0212.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0338_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0213_crop0.jpg,19,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0338.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0213.JPG
2024__28.08.2024__5Z__108MEDIA__DSCF0777_crop0.jpg,2024__09.02.2024__6R__102MEDIA__DSCF0469_crop0.jpg,18,2024,/srv/shared_leopard_toad/2024/28.08.2024/5Z/108MEDIA/DSCF0777.JPG,/srv/shared_leopard_toad/2024/09.02.2024/6R/102MEDIA/DSCF0469.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0361_crop0.jpg,2025__Documents__12.19.08.2025__4R__109MEDIA__DSCF0375_crop0.jpg,18,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0361.JPG,/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/4R/109MEDIA/DSCF0375.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0361_crop0.jpg,2025__Documents__06.10-13.10.2025__6R__104MEDIA__DSCF0444_crop0.jpg,18,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0361.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/6R/104MEDIA/DSCF0444.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0207_crop0.jpg,17,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0207.JPG
2024__28.08.2024__5Z__108MEDIA__DSCF0776_crop0.jpg,2024__02.10.2024__5R__101MEDIA__DSCF0502_crop0.jpg,17,2024,/srv/shared_leopard_toad/2024/28.08.2024/5Z/108MEDIA/DSCF0776.JPG,/srv/shared_leopard_toad/2024/02.10.2024/5R/101MEDIA/DSCF0502.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0209_crop0.jpg,17,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0209.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__11.10.2024__5R__104MEDIA__DSCF0835_crop0.jpg,17,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/11.10.2024/5R/104MEDIA/DSCF0835.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__16.09.2024__4R__108MEDIA__DSCF0843_crop0.jpg,17,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/16.09.2024/4R/108MEDIA/DSCF0843.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__101MEDIA__DSCF0697_crop0.jpg,17,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/101MEDIA/DSCF0697.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0360_crop0.jpg,2025__Documents__06.10-13.10.2025__6R__104MEDIA__DSCF0444_crop0.jpg,17,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0360.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/6R/104MEDIA/DSCF0444.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0386_crop0.jpg,2025__Documents__06.10-13.10.2025__6R__104MEDIA__DSCF0444_crop0.jpg,17,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0386.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/6R/104MEDIA/DSCF0444.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__6R__102MEDIA__DSCF0469_crop0.jpg,16,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/6R/102MEDIA/DSCF0469.JPG
2024__28.08.2024__5Z__108MEDIA__DSCF0776_crop0.jpg,2024__26.09.2024__6R__108MEDIA__DSCF0875_crop0.jpg,16,2024,/srv/shared_leopard_toad/2024/28.08.2024/5Z/108MEDIA/DSCF0776.JPG,/srv/shared_leopard_toad/2024/26.09.2024/6R/108MEDIA/DSCF0875.JPG
2024__28.08.2024__5Z__108MEDIA__DSCF0779_crop0.jpg,2024__09.02.2024__6R__102MEDIA__DSCF0469_crop0.jpg,16,2024,/srv/shared_leopard_toad/2024/28.08.2024/5Z/108MEDIA/DSCF0779.JPG,/srv/shared_leopard_toad/2024/09.02.2024/6R/102MEDIA/DSCF0469.JPG
2024__28.08.2024__5Z__108MEDIA__DSCF0777_crop0.jpg,2024__02.10.2024__5R__101MEDIA__DSCF0502_crop0.jpg,16,2024,/srv/shared_leopard_toad/2024/28.08.2024/5Z/108MEDIA/DSCF0777.JPG,/srv/shared_leopard_toad/2024/02.10.2024/5R/101MEDIA/DSCF0502.JPG
2024__28.08.2024__5Z__108MEDIA__DSCF0777_crop0.jpg,2024__02.10.2024__5R__101MEDIA__DSCF0501_crop0.jpg,16,2024,/srv/shared_leopard_toad/2024/28.08.2024/5Z/108MEDIA/DSCF0777.JPG,/srv/shared_leopard_toad/2024/02.10.2024/5R/101MEDIA/DSCF0501.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__11.10.2024__3R__104MEDIA__DSCF0687_crop0.jpg,16,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/11.10.2024/3R/104MEDIA/DSCF0687.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__102MEDIA__DSCF0071_crop0.jpg,16,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/102MEDIA/DSCF0071.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__11.10.2024__5R__108MEDIA__DSCF0493_crop0.jpg,16,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/11.10.2024/5R/108MEDIA/DSCF0493.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0208_crop0.jpg,16,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0208.JPG
