epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,204.103,1.05076,4.84746,1.24474,0.762,0.41667,0.71871,0.37191,1.38033,3.78544,1.46265,0.000704644,0.000704644,0.000704644
43,209.758,1.28769,4.92818,1.57204,0.762,0.41667,0.71871,0.37191,1.38033,3.78544,1.46265,0.000709599,0.000709599,0.000709599
44,212.646,1.29538,4.93389,1.47257,0.81753,0.41418,0.7747,0.44728,1.15265,3.76483,1.34231,0.000713987,0.000713987,0.000713987
45,219.371,1.3112,5.21886,1.51821,0.81753,0.41418,0.7747,0.44728,1.15265,3.76483,1.34231,0.00071781,0.00071781,0.00071781
46,221.621,1.3163,5.07936,1.8314,0.8531,0.43847,0.84078,0.5187,1.01178,3.62021,1.2303,0.000721066,0.000721066,0.000721066
47,228.351,1.2562,5.56178,1.58801,0.8531,0.43847,0.84078,0.5187,1.01178,3.62021,1.2303,0.000723757,0.000723757,0.000723757
48,230.821,1.27833,5.09828,1.44351,0.84949,0.48315,0.85468,0.50569,1.1151,3.50551,1.30754,0.000725882,0.000725882,0.000725882
49,238.29,1.0967,4.54157,1.52236,0.84949,0.48315,0.85468,0.50569,1.1151,3.50551,1.30754,0.000727441,0.000727441,0.000727441
50,240.637,1.22777,4.83998,1.55582,0.64858,0.72885,0.83338,0.48733,1.19024,3.46804,1.3782,0.000728434,0.000728434,0.000728434
51,246.164,1.05861,3.73177,1.38407,0.64858,0.72885,0.83338,0.48733,1.19024,3.46804,1.3782,0.000721645,0.000721645,0.000721645
52,248.862,1.09774,4.25871,1.40214,0.63214,0.75129,0.74592,0.39186,1.43534,3.69462,1.49641,0.000707498,0.000707498,0.000707498
53,255.152,1.29942,4.24006,1.52002,0.63214,0.75129,0.74592,0.39186,1.43534,3.69462,1.49641,0.000693351,0.000693351,0.000693351
54,257.628,1.05382,4.3,1.24904,0.6707,0.74862,0.79324,0.42893,1.49517,3.44108,1.54518,0.000679204,0.000679204,0.000679204
55,264.029,1.19712,4.04377,1.44925,0.6707,0.74862,0.79324,0.42893,1.49517,3.44108,1.54518,0.000665057,0.000665057,0.000665057
56,266.479,1.38574,5.30688,1.82067,0.62508,0.85724,0.74889,0.47055,1.32304,3.65436,1.42772,0.000650909,0.000650909,0.000650909
57,272.134,1.0702,4.05707,1.38794,0.62508,0.85724,0.74889,0.47055,1.32304,3.65436,1.42772,0.000636762,0.000636762,0.000636762
58,277.403,0.98957,5.78596,1.31619,0.61534,0.81164,0.89475,0.50835,1.22376,3.75201,1.28127,0.000622615,0.000622615,0.000622615
59,281.337,1.01768,4.12448,1.52837,0.61534,0.81164,0.89475,0.50835,1.22376,3.75201,1.28127,0.000608468,0.000608468,0.000608468
60,283.761,1.02842,3.87198,1.49809,0.64774,0.85015,0.91044,0.48476,1.15544,3.80632,1.27629,0.000594321,0.000594321,0.000594321
61,290.453,1.04139,4.48917,1.38656,0.64774,0.85015,0.91044,0.48476,1.15544,3.80632,1.27629,0.000580174,0.000580174,0.000580174
62,292.865,1.08546,5.27328,1.45617,0.63195,0.85445,0.8296,0.53922,1.11517,3.9567,1.26053,0.000566027,0.000566027,0.000566027
63,298.428,1.14178,4.87407,1.30263,0.63195,0.85445,0.8296,0.53922,1.11517,3.9567,1.26053,0.00055188,0.00055188,0.00055188
64,301.08,1.08871,4.89673,1.3252,1,0.46111,0.87407,0.56478,1.09483,3.44813,1.29894,0.000537733,0.000537733,0.000537733
