epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,263.154,1.00641,0.75146,0.00502,0.75984,0.75946,0.812,0.58205,1.24094,1.36063,0.00626,0.000848969,0.000848969,0.000848969
43,268.562,1.08058,0.73903,0.00474,0.78466,0.71103,0.82815,0.59609,1.25275,1.44994,0.00626,0.000834822,0.000834822,0.000834822
44,274.091,0.93998,0.67487,0.00488,0.81369,0.75765,0.82917,0.60543,1.24329,1.35831,0.0062,0.000820675,0.000820675,0.000820675
45,279.888,0.93738,0.69382,0.00456,0.8944,0.703,0.82787,0.59056,1.26104,1.4085,0.00643,0.000806528,0.000806528,0.000806528
46,285.706,1.04598,0.65865,0.00466,0.85926,0.73953,0.86163,0.61757,1.20467,1.21664,0.00612,0.00079238,0.00079238,0.00079238
47,291.264,1.01412,0.58507,0.00465,0.89665,0.71537,0.84125,0.60003,1.2658,1.26009,0.00641,0.000778233,0.000778233,0.000778233
48,296.824,0.95627,0.63128,0.00457,0.84595,0.72514,0.84492,0.58089,1.40837,1.25665,0.00732,0.000764086,0.000764086,0.000764086
49,302.462,0.98977,0.66641,0.00403,0.83659,0.72508,0.84993,0.62201,1.1894,1.41211,0.0061,0.000749939,0.000749939,0.000749939
50,308.416,0.90469,0.61261,0.00403,0.89616,0.75836,0.86111,0.62507,1.24892,1.2028,0.00624,0.000735792,0.000735792,0.000735792
51,313.799,0.89598,0.56595,0.00419,0.89512,0.73174,0.84713,0.64117,1.14946,1.42801,0.00573,0.000721645,0.000721645,0.000721645
52,319.484,0.91171,0.55264,0.00474,0.89511,0.66924,0.83896,0.64126,1.15566,1.38725,0.00589,0.000707498,0.000707498,0.000707498
53,324.953,0.84921,0.50897,0.00436,0.83469,0.75951,0.85537,0.64957,1.16864,1.37597,0.00606,0.000693351,0.000693351,0.000693351
