epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,514.939,0.29576,0.42546,0.12462,0.92981,0.88168,0.90985,0.61811,0.36148,0.6125,0.11777,0.000462281,0.000462281,0.000462281
43,526.613,0.22182,0.37871,0.10025,0.90974,0.83486,0.86976,0.59405,0.37788,0.72737,0.12292,0.000438703,0.000438703,0.000438703
44,538.665,0.25409,0.47372,0.12905,0.87198,0.81328,0.85126,0.58321,0.39293,0.69939,0.12339,0.000415124,0.000415124,0.000415124
45,550.482,0.24071,0.42942,0.10102,0.91422,0.81393,0.87326,0.59581,0.39041,0.64396,0.11713,0.000391546,0.000391546,0.000391546
46,562.552,0.24441,0.41807,0.11422,0.95965,0.82484,0.88835,0.61526,0.36374,0.67161,0.11622,0.000367967,0.000367967,0.000367967
47,574.266,0.23559,0.44871,0.11509,0.94077,0.793,0.83504,0.59051,0.35818,0.70014,0.11521,0.000344389,0.000344389,0.000344389
48,586.187,0.22968,0.42836,0.12293,0.85524,0.6655,0.70416,0.49846,0.40389,0.72019,0.13752,0.00032081,0.00032081,0.00032081
49,598.02,0.24107,0.40972,0.09269,0.92655,0.74079,0.81102,0.58893,0.39104,0.69004,0.12988,0.000297232,0.000297232,0.000297232
50,609.851,0.22119,0.47751,0.08945,0.9058,0.72768,0.81106,0.58643,0.37518,0.6421,0.12094,0.000273654,0.000273654,0.000273654
51,626.309,0.24292,0.3722,0.12134,0.9108,0.67638,0.71546,0.50602,0.57919,0.65364,0.24246,0.000250075,0.000250075,0.000250075
52,638.227,0.214,0.44816,0.11597,0.92701,0.73548,0.75084,0.52,0.55774,0.68093,0.21128,0.000226497,0.000226497,0.000226497
53,649.801,0.18062,0.34243,0.09141,0.89981,0.70143,0.76348,0.53387,0.58417,0.72694,0.24667,0.000202918,0.000202918,0.000202918
54,661.485,0.15875,0.36972,0.0908,0.8952,0.636,0.70806,0.49723,0.55927,0.7903,0.25045,0.00017934,0.00017934,0.00017934
55,673.058,0.16541,0.33535,0.08383,0.91409,0.74486,0.7863,0.54951,0.42778,0.65528,0.1609,0.000155761,0.000155761,0.000155761
56,684.746,0.18922,0.37054,0.10017,0.94382,0.80284,0.85271,0.61777,0.44071,0.60396,0.15878,0.000132183,0.000132183,0.000132183
57,696.325,0.16525,0.362,0.07437,0.94409,0.76978,0.84207,0.60499,0.41196,0.67157,0.14139,0.000108604,0.000108604,0.000108604
58,707.982,0.17187,0.32953,0.09348,0.92068,0.8375,0.86476,0.62273,0.41092,0.59806,0.14162,8.50255e-05,8.50255e-05,8.50255e-05
59,719.534,0.20676,0.30718,0.09499,0.93185,0.8442,0.87755,0.64014,0.39019,0.5871,0.13445,6.1447e-05,6.1447e-05,6.1447e-05
60,731.481,0.16257,0.29596,0.08749,0.92883,0.82463,0.85942,0.62891,0.38837,0.59727,0.13214,3.78685e-05,3.78685e-05,3.78685e-05
