epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,389.609,0.27757,0.53123,0.09761,0.91566,0.72595,0.82492,0.58127,0.33826,0.81076,0.1051,0.000848969,0.000848969,0.000848969
43,398.551,0.25562,0.47058,0.11918,0.92175,0.77248,0.88028,0.61675,0.33318,0.80775,0.09949,0.000834822,0.000834822,0.000834822
44,407.504,0.25199,0.37295,0.07704,0.92261,0.81469,0.88565,0.62398,0.33423,0.83861,0.10163,0.000820675,0.000820675,0.000820675
45,416.407,0.26891,0.42975,0.09305,0.95146,0.84122,0.88024,0.62958,0.35554,0.68529,0.11611,0.000806528,0.000806528,0.000806528
46,425.325,0.23278,0.41852,0.07591,0.91939,0.79823,0.84153,0.58996,0.35786,0.63551,0.11506,0.00079238,0.00079238,0.00079238
47,434.249,0.19939,0.40878,0.06558,0.79748,0.71119,0.75271,0.52051,0.40919,0.74544,0.14065,0.000778233,0.000778233,0.000778233
48,443.031,0.24183,0.41391,0.08518,0.90225,0.6276,0.71784,0.52342,0.42602,0.98288,0.13586,0.000764086,0.000764086,0.000764086
49,451.696,0.23925,0.42221,0.09762,0.80932,0.73231,0.80835,0.58209,0.36558,0.78984,0.11818,0.000749939,0.000749939,0.000749939
50,460.492,0.22767,0.42495,0.08461,0.91933,0.8282,0.85385,0.60384,0.35677,0.70497,0.1204,0.000735792,0.000735792,0.000735792
51,469.228,0.23858,0.41927,0.09112,0.96097,0.70526,0.81437,0.57334,0.40225,0.82712,0.13104,0.000721645,0.000721645,0.000721645
52,478.084,0.2484,0.42207,0.09496,0.96346,0.75538,0.8361,0.57509,0.3729,0.69558,0.11434,0.000707498,0.000707498,0.000707498
53,486.835,0.23525,0.39397,0.08197,0.91664,0.69045,0.8344,0.59667,0.33922,0.82443,0.11069,0.000693351,0.000693351,0.000693351
54,495.624,0.23092,0.37626,0.07814,0.79276,0.82135,0.83641,0.59242,0.35697,0.82213,0.12802,0.000679204,0.000679204,0.000679204
55,504.364,0.23356,0.40308,0.07885,0.96841,0.60028,0.78389,0.5531,0.38729,0.87589,0.13348,0.000665057,0.000665057,0.000665057
56,513.373,0.21944,0.45083,0.07041,0.95806,0.76295,0.86529,0.60466,0.35175,0.8124,0.10731,0.000650909,0.000650909,0.000650909
57,522.146,0.21911,0.44102,0.09769,0.92696,0.83853,0.88485,0.62182,0.34618,0.6801,0.10679,0.000636762,0.000636762,0.000636762
58,530.928,0.19798,0.34819,0.05479,0.90555,0.82656,0.89212,0.63152,0.36694,0.80353,0.10937,0.000622615,0.000622615,0.000622615
59,539.773,0.21692,0.38425,0.0671,0.92238,0.81436,0.84055,0.60159,0.33183,0.66744,0.09779,0.000608468,0.000608468,0.000608468
60,548.788,0.26479,0.31497,0.08703,0.90497,0.75672,0.81032,0.57171,0.35605,0.84764,0.10884,0.000594321,0.000594321,0.000594321
61,557.507,0.20762,0.40748,0.06182,0.95361,0.71616,0.8251,0.58993,0.35746,0.8227,0.11006,0.000580174,0.000580174,0.000580174
62,566.177,0.21333,0.36771,0.06126,0.90645,0.75375,0.84283,0.58842,0.35663,0.74757,0.1094,0.000566027,0.000566027,0.000566027
63,574.945,0.22681,0.35568,0.06553,0.85481,0.7967,0.83368,0.58912,0.35109,0.7705,0.10539,0.00055188,0.00055188,0.00055188
64,583.781,0.19189,0.35032,0.07217,0.97446,0.71659,0.81627,0.58285,0.3463,0.95612,0.10933,0.000537733,0.000537733,0.000537733
65,592.731,0.21561,0.31299,0.08973,0.95628,0.6565,0.75884,0.55586,0.3702,1.25524,0.11748,0.000523586,0.000523586,0.000523586
66,601.4,0.18774,0.35511,0.07107,0.95272,0.74873,0.83816,0.60199,0.33465,0.74275,0.09774,0.000509438,0.000509438,0.000509438
67,610.039,0.18102,0.33574,0.07988,0.89043,0.73012,0.80375,0.57839,0.33025,0.84217,0.10244,0.000495291,0.000495291,0.000495291
68,618.803,0.20387,0.32435,0.07222,0.83722,0.74163,0.79764,0.5774,0.3345,0.98849,0.10539,0.000481144,0.000481144,0.000481144
69,627.749,0.15856,0.34387,0.04977,0.82609,0.71525,0.76831,0.56622,0.35223,1.06418,0.10871,0.000466997,0.000466997,0.000466997
70,636.537,0.21299,0.32882,0.06863,0.81499,0.70415,0.78128,0.55433,0.34548,1.04191,0.10549,0.00045285,0.00045285,0.00045285
71,645.236,0.19487,0.34593,0.07046,0.76635,0.62721,0.63569,0.45645,0.36079,1.08153,0.11604,0.000438703,0.000438703,0.000438703
72,653.994,0.21743,0.3359,0.07028,0.87818,0.66361,0.77492,0.55552,0.34432,1.02203,0.10639,0.000424556,0.000424556,0.000424556
73,662.987,0.18424,0.32403,0.06555,0.94161,0.62469,0.75334,0.53367,0.36452,1.11371,0.11548,0.000410409,0.000410409,0.000410409
74,671.746,0.21686,0.32974,0.06691,0.87621,0.66376,0.75526,0.53864,0.35634,1.01299,0.10749,0.000396262,0.000396262,0.000396262
75,680.426,0.16463,0.27668,0.0442,0.95014,0.70727,0.82355,0.57958,0.34243,0.93624,0.10376,0.000382115,0.000382115,0.000382115
76,689.198,0.17735,0.32924,0.06231,0.96835,0.70251,0.83725,0.60705,0.3296,0.91818,0.09965,0.000367967,0.000367967,0.000367967
77,697.894,0.20018,0.32764,0.063,0.89345,0.79376,0.85002,0.60286,0.35546,0.76136,0.10489,0.00035382,0.00035382,0.00035382
78,706.982,0.19028,0.30758,0.06562,0.9269,0.73674,0.8269,0.57383,0.40144,0.81189,0.12591,0.000339673,0.000339673,0.000339673
79,715.756,0.19396,0.31594,0.05854,0.92189,0.73817,0.8223,0.57089,0.40471,0.82711,0.12582,0.000325526,0.000325526,0.000325526
80,724.484,0.171,0.31813,0.05189,0.92101,0.73526,0.81527,0.56724,0.39154,0.8619,0.12174,0.000311379,0.000311379,0.000311379
81,733.209,0.16588,0.27664,0.05371,0.88744,0.7583,0.80799,0.56128,0.40508,0.85301,0.12691,0.000297232,0.000297232,0.000297232
82,742.216,0.18346,0.33184,0.05441,0.83521,0.74888,0.80068,0.57104,0.37936,0.93066,0.12533,0.000283085,0.000283085,0.000283085
83,750.91,0.20568,0.2917,0.07688,0.89861,0.73769,0.8013,0.57138,0.38212,0.88482,0.11461,0.000268938,0.000268938,0.000268938
