epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,333.436,0.23801,0.42945,0.13159,0.93234,0.78493,0.86163,0.61431,0.34336,0.66292,0.10699,0.000462281,0.000462281,0.000462281
43,340.569,0.23046,0.40197,0.14864,0.90521,0.75489,0.83637,0.57779,0.36689,0.66592,0.1231,0.000438703,0.000438703,0.000438703
44,347.836,0.20809,0.401,0.10285,0.86675,0.70489,0.77887,0.55565,0.40074,0.63406,0.13577,0.000415124,0.000415124,0.000415124
45,354.979,0.21327,0.38147,0.0968,0.92984,0.67599,0.74675,0.54096,0.42029,0.69217,0.15707,0.000391546,0.000391546,0.000391546
46,362.235,0.21722,0.39105,0.11748,0.89208,0.74505,0.78012,0.55302,0.39817,0.75998,0.13793,0.000367967,0.000367967,0.000367967
47,369.356,0.21952,0.39192,0.13066,0.92415,0.66415,0.73737,0.53314,0.37525,0.7315,0.12375,0.000344389,0.000344389,0.000344389
48,376.612,0.21949,0.4151,0.12214,0.91794,0.57915,0.67816,0.48367,0.41406,0.73301,0.13555,0.00032081,0.00032081,0.00032081
49,383.703,0.23575,0.39842,0.11183,0.87425,0.55816,0.6803,0.47692,0.39649,0.80092,0.12937,0.000297232,0.000297232,0.000297232
50,390.974,0.20441,0.38264,0.08859,0.93358,0.61016,0.74807,0.51533,0.38145,0.67825,0.12197,0.000273654,0.000273654,0.000273654
51,402.443,0.16792,0.32699,0.07753,0.94026,0.63113,0.75413,0.5265,0.39267,0.6659,0.13698,0.000250075,0.000250075,0.000250075
52,409.953,0.18592,0.3596,0.11722,0.8966,0.67931,0.75067,0.53628,0.40506,0.65231,0.13454,0.000226497,0.000226497,0.000226497
53,417.15,0.16211,0.30399,0.09203,0.8977,0.70573,0.74769,0.53594,0.35549,0.6408,0.13353,0.000202918,0.000202918,0.000202918
54,424.474,0.14273,0.28387,0.06647,0.91179,0.71427,0.76322,0.5466,0.35251,0.61878,0.11677,0.00017934,0.00017934,0.00017934
55,431.67,0.16734,0.33343,0.09521,0.88325,0.72355,0.76429,0.54233,0.38604,0.60166,0.13695,0.000155761,0.000155761,0.000155761
56,438.863,0.14542,0.28995,0.08202,0.86475,0.75218,0.76121,0.53469,0.39695,0.62981,0.14208,0.000132183,0.000132183,0.000132183
57,446.015,0.13479,0.26074,0.07391,0.88285,0.74177,0.75105,0.53106,0.35535,0.65897,0.12274,0.000108604,0.000108604,0.000108604
58,453.258,0.13563,0.28548,0.10435,0.88281,0.75362,0.75958,0.53661,0.35007,0.65157,0.11965,8.50255e-05,8.50255e-05,8.50255e-05
59,460.425,0.12902,0.259,0.08347,0.86616,0.74236,0.74142,0.52493,0.35384,0.62743,0.12121,6.1447e-05,6.1447e-05,6.1447e-05
60,467.663,0.13951,0.24002,0.08266,0.87997,0.71792,0.7405,0.52214,0.3557,0.63354,0.12296,3.78685e-05,3.78685e-05,3.78685e-05
