epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,16532.5,0.58817,0.48891,0.00882,0.93007,0.86723,0.93529,0.82275,0.30225,0.21531,0.00654,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,17055.8,0.58684,0.48916,0.00876,0.92845,0.87505,0.93777,0.82555,0.30059,0.21658,0.00648,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,17565.9,0.58125,0.48109,0.00867,0.93924,0.86454,0.93858,0.82598,0.29988,0.2144,0.00646,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,18083.7,0.5794,0.47588,0.00864,0.94228,0.86412,0.93936,0.82647,0.29923,0.2123,0.00646,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,18596.1,0.57356,0.47661,0.00856,0.9452,0.8587,0.93964,0.82675,0.29751,0.21161,0.00642,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,19104.8,0.57313,0.48117,0.00856,0.92239,0.88227,0.94067,0.82768,0.29575,0.21225,0.00638,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,19636.6,0.569,0.46649,0.00852,0.9323,0.88241,0.94301,0.82951,0.29401,0.21249,0.00634,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,20167.1,0.57146,0.4695,0.00851,0.93294,0.87975,0.94292,0.83037,0.29427,0.21237,0.00635,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,20713.3,0.56708,0.46664,0.00847,0.92746,0.88596,0.94115,0.83067,0.29345,0.21265,0.00633,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,21263.9,0.56342,0.45777,0.00841,0.93054,0.88555,0.94112,0.83079,0.29225,0.21274,0.0063,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
